key_i,key_j,roles,ransac_inliers,selected_matches,rmse_initial,rmse_affine,rmse_projective,median_projective,p95_projective
left:13,right:12,tree,261,40,229.46782832207188,69.17095693100464,4.998989443668184,3.504278488705655,9.526847164604131
right:13,left:12,tree,282,40,903.4097983110615,68.31085298536712,4.586694216289718,3.7438452819137646,8.222780443209393
left:13,right:11,strong,85,40,0.665696450187246,74.45450084143923,7.2831437453193395,5.420126860859017,13.849481493913302
right:13,left:11,strong,98,40,0.7649847505720201,71.82500356222542,7.159868758017026,5.666542723341929,14.215992385405766
left:14,right:13,tree,649,40,860.968054808966,24.37394276333445,6.286433950176804,4.61741104860126,11.922011705325945
right:14,left:13,tree,625,40,248.46767540145012,23.99136150572424,5.049429301440626,3.6008623318730066,9.649600220498048
left:14,right:12,strong,140,40,896.3586761152876,77.94055584737582,6.053132856360504,4.4473884511684325,11.945126719980648
right:14,left:12,strong,117,40,873.3192178323039,77.70170748410897,5.854667662677887,4.430080899128551,10.665977875610631
left:15,right:14,tree,371,40,852.9517146744139,68.74706143233239,6.625932705584185,5.2526888417962825,12.702217851357336
right:15,left:14,tree,337,40,13.353940044798916,67.31241983829983,4.404926055323862,3.685662831931783,7.457812573186282
left:15,left:13,strong,143,40,1112.9174098615779,64.42723944893028,6.769579583007782,5.0316726330169965,12.132007752051216
right:15,right:13,strong,176,40,892.4516096837416,61.545674242634234,11.116216194273683,7.057030116255884,25.691931006604513
left:15,left:11,strong,207,40,860.7898697933798,22.327169246807312,13.66538681616036,9.580545738042565,28.611485329040686
right:15,right:11,strong,213,40,1077.071549159866,22.371804165652414,11.464323629250924,7.7833368970759995,23.29555453175836
left:16,right:14,tree,109,40,0.9956049948277285,86.06222125432113,13.370974648657743,6.714837250480196,30.029268663285396
right:16,left:14,tree,109,40,1.3132379247185082,89.51537379267312,11.831323500961226,6.188759707772255,27.34728540893986
left:16,left:15,strong,448,40,820.0930639385789,14.341506516571314,3.7804276847895943,2.7580853163668424,6.542459934174491
right:16,right:15,strong,431,40,13.425430801915466,15.683888998354448,4.51640550970983,3.4058037822744334,7.574996640479908
left:16,right:12,strong,130,40,26.10997524825881,19.518794515746727,7.380221263852962,6.145867053920551,11.999562407397939
right:16,left:12,strong,146,40,1.444930127212154,19.202442773413065,7.984759700298421,5.992495996040617,11.945380437286529
left:17,left:15,tree,127,40,0.9433049458017218,13.271423147866082,4.351130503456886,3.7492352009904986,6.592962739321559
right:17,right:15,tree,107,40,0.8582742442997342,14.617470414981604,3.68932697504392,3.305724220944775,6.158539435538718
left:17,right:16,strong,543,40,7.843585866301593,12.586154699849464,5.846309270823748,3.4174778424786885,11.986871040961073
right:17,left:16,strong,507,40,714.1856667286307,11.39362553125483,5.272889768181169,3.3093613722562427,10.609199294445606
left:18,left:17,tree,625,40,596.6748119764057,10.55288552077988,5.657717247567139,4.918055814355046,8.817036385472282
right:18,right:17,tree,671,40,9.200658209575241,11.077962181280487,5.348904296110908,4.5051367728224045,8.777423686437118
left:18,left:8,loop,121,40,1.367571630258651,20.621561067773207,14.698010763752208,8.047826155986229,36.78197438539889
right:18,right:8,loop,111,40,710.6755461316613,18.988697052441562,13.217082225093229,8.322473268234074,32.12473976057055
left:18,left:16,strong,150,40,0.7229628952792172,15.800757361807081,7.630089302255727,5.630362825698989,15.483190094282973
right:18,right:16,strong,183,40,1.0334860267965738,15.86504900093841,7.7505861282912925,4.786810581660176,17.766674101120817
left:19,left:18,tree,309,40,556.6833272576886,5.005567771800858,4.122857549460097,3.4126062398246964,7.46828217314433
right:19,right:18,tree,282,40,11.721315174821296,5.824607703769786,4.726352569618578,4.182165857255637,7.632359979047786
right:19,right:7,loop,72,40,660.4193778978533,13.511892979271362,14.235464381314753,8.680519326606419,29.341389727029355
left:19,left:8,loop,123,40,517.5215253075555,10.939105973495638,8.904552321160184,5.167097214541595,14.887809255281246
