key_i,key_j,raw_matches,ratio_matches,mutual_matches,ransac_inliers,inlier_ratio,mean_reproj_error,coverage_i,coverage_j,selected_matches,verified,reason
left:50,left:34,10000,387,254,160,0.6299212598425197,1.9144772529488834,0.09569811063582696,0.08286548357761798,40,True,accepted
left:50,right:34,10000,396,285,167,0.5859649122807018,1.4262214666547197,0.22380263967288877,0.1929831529052708,40,True,accepted
right:50,left:34,10000,385,261,139,0.5325670498084292,1.4941967433173655,0.22166015602847192,0.20794295626247672,40,True,accepted
right:50,right:34,10000,380,276,186,0.6739130434782609,1.9975171693512759,0.14499593899188812,0.12780888832429094,40,True,accepted
left:50,left:35,10000,352,267,209,0.7827715355805244,1.3509444578236907,0.060952260345581544,0.050120901568406755,40,True,accepted
left:50,right:35,10000,366,268,209,0.7798507462686567,1.2925421796610261,0.05820658420057532,0.047848042468996516,40,True,accepted
right:50,left:35,10000,367,281,208,0.7402135231316725,1.5602048557080157,0.1929838879100151,0.17656473020996466,40,True,accepted
right:50,right:35,10000,366,274,202,0.7372262773722628,1.6164996242535095,0.2578777900488141,0.23483979995483115,40,True,accepted
left:50,left:33,10000,142,82,35,0.4268292682926829,1.4276504786670525,0.06376095784013056,0.06766196664050259,0,False,inlier_count
left:50,right:33,10000,147,85,39,0.4588235294117647,1.7677367337575247,0.28332724083563465,0.29860111152876495,0,False,inlier_count
right:50,left:33,10000,148,80,39,0.4875,1.3030558411672462,0.0700182338167758,0.07399412614549462,0,False,inlier_count
right:50,right:33,10000,154,92,42,0.45652173913043476,1.7373984554798658,0.22384460774883036,0.24066430910196362,40,True,accepted
left:50,left:4,10000,27,5,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:50,right:4,10000,19,4,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:50,left:4,10000,23,5,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:50,right:4,10000,16,5,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:50,left:8,10000,34,10,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
