key_i,key_j,roles,provenance,raw_matches,ratio_matches,ransac_inliers,inlier_ratio,mean_reproj_error,coverage_i,coverage_j,quality_score,selected_matches,observation_index
right:45,right:41,strong,strong,10000,154,57,0.5327102803738317,1.3571272706420994,0.15351984245212466,0.1597146651667875,0.2446854335403777,40,311
left:46,left:45,tree,tree,10000,1235,551,0.5193213949104618,1.4311232748170812,0.41223091393136313,0.4110557094239885,0.9417443888209527,40,312
right:46,right:45,tree,tree,10001,1213,573,0.5375234521575984,1.4824572904558924,0.4153043224012719,0.41380337740164874,0.9531527057005345,40,313
left:46,right:44,strong,strong,10000,235,101,0.5343915343915344,1.1783411190118624,0.22223822345751232,0.2219518176534296,0.4655389881178082,40,314
right:46,left:44,strong,strong,10001,230,94,0.5310734463276836,1.1547599000426043,0.22292224588282683,0.22271715044794954,0.46644180160007426,40,315
left:47,left:45,tree,tree,10000,254,105,0.5526315789473685,1.646977104279812,0.2860767202374329,0.28318978982794096,0.44313063268018266,40,316
right:47,right:45,tree,tree,10000,236,91,0.4918918918918919,1.456822471134223,0.25117520598205323,0.2509438678119201,0.38313301214025974,40,317
left:47,left:37,loop,loop,10000,311,96,0.3794466403162055,1.6352891918268249,0.32137632134869526,0.30545952186761316,0.3242449411158237,40,318
right:47,left:37,loop,loop,10000,317,102,0.38636363636363635,1.9560365656402752,0.3586051579009515,0.337837283508125,0.30927938587352255,40,319
left:47,right:46,strong,strong,10000,1248,568,0.5472061657032755,1.6796021747127037,0.4168892554295347,0.41426118998708333,0.8561966667837302,40,320
right:47,left:46,strong,strong,10000,1241,556,0.535645472061657,1.540495848324629,0.41556435455691626,0.4156554829241428,0.913583467246246,40,321
right:47,left:36,strong,strong,10000,166,41,0.328,1.6265981513969323,0.1834862944470693,0.1859930141898776,0.13829225005571352,40,322
right:47,right:36,strong,strong,10000,156,44,0.36666666666666664,1.6031810914880857,0.32290554719490755,0.3128253302554691,0.27235469227973463,40,323
left:48,left:47,tree,tree,10000,756,268,0.4260731319554849,1.6034803557430743,0.23820474361047977,0.23502117960573116,0.3493855366543574,40,324
right:48,right:47,tree,tree,10000,746,250,0.39556962025316456,1.6104680583050768,0.32175727770667223,0.3283370572718312,0.4366835259906478,40,325
left:48,left:36,loop,loop,10000,236,80,0.4444444444444444,1.6618330465834383,0.3540527876640131,0.3356529816918464,0.39447981241407837,40,326
right:48,left:36,loop,loop,10000,232,82,0.4530386740331492,2.234228528740535,0.4489166637826809,0.4240936094613605,0.3799947135392046,40,327
left:48,left:37,loop,loop,10000,155,56,0.4375,1.614109706260275,0.3179541916395923,0.29210664886035087,0.3201071907219894,40,328
left:48,right:35,strong,strong,10000,137,46,0.4423076923076923,1.7182375767469753,0.29372591659808234,0.2840263392993007,0.28149910778843257,40,329
right:48,left:35,strong,strong,10000,146,44,0.42718446601941745,1.458408935931967,0.3006179041826065,0.29065280588264397,0.32408186533117395,40,330
left:48,left:46,strong,strong,10000,209,60,0.3870967741935484,1.3361690123750056,0.19289635671611077,0.195375321027636,0.22972909830365595,40,331
right:48,right:46,strong,strong,10000,192,67,0.432258064516129,1.4270782076019586,0.18451882764281108,0.18592937150474836,0.23582915608046723,40,332
left:49,right:48,tree,tree,10000,733,298,0.4885245901639344,1.6541841769540169,0.5010835103978732,0.507217196772573,0.8435698837421082,40,333
right:49,left:48,tree,tree,10001,709,273,0.46507666098807493,1.4900633194104653,0.5055205345011251,0.508748570402797,0.8856523637100009,40,334
right:49,left:35,loop,loop,10001,350,155,0.5827067669172933,1.547466056261782,0.37576882098226083,0.3589070840658054,0.6824796002329246,40,335
left:49,right:34,strong,strong,10000,142,41,0.43157894736842106,1.6881077742542618,0.2737716686696253,0.2678022382857524,0.25590274067646157,40,336
right:49,right:34,strong,strong,10001,144,42,0.42857142857142855,1.878066580391174,0.17203064439708035,0.1725871923744619,0.14765367331328197,40,337
left:50,left:49,tree,tree,10000,1329,830,0.7274320771253286,1.137785597239124,0.3482521277229492,0.33906642533764514,1.457322324988257,40,338
right:50,right:49,tree,tree,10000,1341,894,0.7621483375959079,1.4043167907045226,0.5507894323857246,0.548548812468598,2.023463591019085,40,339
left:50,right:34,loop,loop,10000,396,167,0.5859649122807018,1.4262214666547197,0.22380263967288877,0.1929831529052708,0.4062653686817877,40,340
right:50,left:34,loop,loop,10000,385,139,0.5325670498084292,1.4941967433173655,0.22166015602847192,0.20794295626247672,0.36625346939950787,40,341
right:50,right:35,loop,loop,10000,366,202,0.7372262773722628,1.6164996242535095,0.2578777900488141,0.23483979995483115,0.5690537431546732,40,342
left:51,right:50,tree,tree,10000,1932,1479,0.8803571428571428,1.1550260033836814,0.3304038789213951,0.3350516703983996,1.8383267070472114,40,343
right:51,left:50,tree,tree,10000,1864,1425,0.8796296296296297,1.1658331439956782,0.322802066472404,0.3274247061672372,1.7688590228989522,40,344
right:51,left:32,loop,loop,10000,206,61,0.46564885496183206,1.609774405950022,0.1966530509041085,0.21296799996940924,0.23476997310203862,40,345
left:51,left:34,loop,loop,10000,329,163,0.6848739495798319,1.6125900588831714,0.22161098801003684,0.21195445491546572,0.45907934198090905,40,346
left:51,right:49,strong,strong,10000,285,112,0.6120218579234973,1.455187501985497,0.13810164934769656,0.13508573036224628,0.26858291647196114,40,347
right:51,left:49,strong,strong,10000,244,103,0.639751552795031,1.1937398751115866,0.0926515440994353,0.09060630473565517,0.2255217681057993,40,348
left:51,left:33,strong,strong,10000,368,129,0.5375,1.475248958468788,0.15563229697434244,0.14075240770179628,0.2496190488790056,40,349
right:51,right:33,strong,strong,10000,382,153,0.5708955223880597,1.5340621169321906,0.1754815363744125,0.15875696295805528,0.2975870681610043,40,350
left:52,left:51,tree,tree,10001,2748,2196,0.8773471833799441,1.110615105402824,0.3757769326315915,0.3825936127640027,2.2842187163665586,40,351
right:52,right:51,tree,tree,10000,2672,2136,0.8754098360655738,1.0789325219854544,0.4213076313589603,0.42929195887269067,2.620900228230802,40,352
left:52,left:31,loop,loop,10001,230,70,0.47619047619047616,1.250690258342947,0.13373421281121023,0.14130499305366986,0.21704802349808533,40,353
right:52,right:31,loop,loop,10000,242,73,0.474025974025974,1.485383867355854,0.13524038549698927,0.14298339316778974,0.18575836292381429,40,354
right:52,right:32,loop,loop,10000,408,126,0.4772727272727273,1.4363262215166395,0.32490585911095604,0.3306980784667518,0.5229879440911877,40,355
left:52,right:50,strong,strong,10001,413,209,0.6943521594684385,1.4952392838452606,0.21975327751596432,0.228655685527698,0.5456612084166649,40,356
right:52,left:50,strong,strong,10000,418,220,0.6875,1.249970259649895,0.21187768356188552,0.21965823634738288,0.6290770786946511,40,357
left:52,left:33,strong,strong,10001,290,121,0.6269430051813472,1.6597627379250572,0.137136894309076,0.12575139206076,0.22819151509692856,40,358
right:52,right:33,strong,strong,10000,302,134,0.6633663366336634,1.8109933810460364,0.2719075370260095,0.2675064368739423,0.4806554854329165,40,359
left:53,left:52,tree,tree,10000,2481,1689,0.7414398595258999,1.3401549167409346,0.3660874690927796,0.3779372253575369,1.505356759521543,40,360
right:53,right:52,tree,tree,10000,2486,1780,0.791814946619217,1.6381470095400228,0.33438521315828235,0.3447683426631187,1.2097771594136877,40,361
right:53,left:30,loop,loop,10000,252,91,0.5481927710843374,1.5229849186256463,0.1635718667456267,0.1803762000632231,0.26622956270627196,40,362
left:53,right:30,loop,loop,10000,242,86,0.5308641975308642,1.281768601015572,0.12918579958512055,0.14365758216180557,0.23894504583113346,40,363
