image_i,image_j,inlier_count,pair_rmse_px,pair_median_error_px,pair_max_error_px
19,20,294,14.20781580223655,11.80300187210885,39.46605785621063
19,36,38,17.19277488538776,16.56660839567261,35.60255670065931
20,21,140,20.587276968942774,13.550667669433501,42.63600278740486
20,35,28,14.558055011009698,9.242060150849182,32.527351788044236
21,22,368,9.362539639889084,9.083817856363044,21.427146041580688
21,34,40,25.026444381224557,16.423183249721152,73.15929145429348
22,23,263,6.612293651375134,5.89606171320583,19.64855643922436
22,33,34,18.88746796816013,16.83511621720603,36.50927284119315
23,24,269,11.111777330579983,9.571907489883802,20.444207257903162
23,32,78,15.147799407974034,12.577159745144051,37.026397505633206
24,25,793,10.927842779010938,9.377063081468407,30.413532558108763
24,31,130,14.032114290824408,12.383539315707393,58.944166139170996
25,26,786,9.676486570534525,8.595010426402023,29.259377211060524
25,30,145,7.4825869678420105,5.6399327532531895,21.248328524008322
26,27,1180,4.108695293307817,3.7857372631795294,13.304095978138086
26,28,353,6.2296432921432645,5.467623175331349,28.742711843705752
27,28,997,7.706986527852014,5.919548864617748,20.769526886955823
28,29,1011,10.267851069731087,7.542983862326552,61.51661670487716
28,30,195,7.0401630253467085,5.334010113277831,18.134562843503772
29,30,645,8.080339509547807,6.359439003255702,22.045402205673497
29,55,110,18.185078802888917,13.672544621152557,58.59120688578717
30,31,560,12.60295686444628,10.831629109301446,35.124175410489116
30,54,153,12.544649956762456,12.160607678005785,26.899702940182177
31,32,783,10.453750168662237,10.022938418212247,24.382800343719467
31,53,109,18.103116597472187,10.428983932579387,75.10685757182257
32,33,501,15.4839829218516,13.60607638314939,28.684965396839715
32,52,80,10.721043612614867,8.484361844713899,26.873671077710117
33,34,417,23.10315262204639,25.63492130980581,34.56944803528027
33,51,65,10.228100521930362,8.602897663113994,19.70068282575064
34,35,367,14.326412631807345,10.23737329518898,35.7489772479804
34,50,91,14.00840898771661,12.173604117802217,30.271549122279044
35,36,304,18.998646471921248,14.727624094026435,32.84030753911655
35,49,87,6.149346391779273,4.91451433289153,13.176991390224538
36,37,275,14.629223876595606,10.223044489893695,55.97380500176749
36,48,68,7.268552239080866,6.117971251712653,13.096750315366934
37,38,202,8.093268634969053,5.714712416379763,21.092350486269076
37,47,32,28.575849289029378,24.034433210857976,60.860825815165505
38,39,397,13.118093503269664,12.514790946356094,32.44893732331958
